FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkW;IsoCode Country + Technology (W);;;;;;
kkW-yyyy;Plant code ;;;;;;
kkW-yyyy-00;Common Infrastructures;;;;;FL_INFRAST;FL00000W
kkW-yyyy-00-VC;Building, Areas and Roads;0000;16;1610;;FL_INFRAST;FL00000W
kkW-yyyy-00-VC-WH;Warehouse/Workshop;0000;16;1610;;FL_INFRAST;FL00000W
kkW-yyyy-00-VC-BU;Buildings;0000;16;1610;;FL_INFRAST;FL00000W
kkW-yyyy-00-VC-AR;Areas/Roads;0000;16;1610;;FL_INFRAST;FL00000W
kkW-yyyy-00-IC;Internal Communications;0000;16;1650;;FL_OTHER;FL00000W
kkW-yyyy-00-IC-HT;Telephone Devices;0000;16;1650;;FL_OTHER;FL00000W
kkW-yyyy-00-IC-RD;Radio system;0000;16;1650;;FL_OTHER;FL00000W
kkW-yyyy-00-IC-WX;Weather system;0000;16;1680;;FL_OTHER;FL00000W
kkW-yyyy-00-TC;SCADA System;0000;16;1681;;FL_AUT&CON;FL00000W
kkW-yyyy-00-TC-FO;Fiber Optics;0000;16;1681;;FL_AUT&CON;FL00000W
kkW-yyyy-00-TC-CC;Other communication channels;0000;16;1681;;FL_AUT&CON;FL00000W
kkW-yyyy-00-TC-AP;SCADA Devices;0000;16;1681;;FL_AUT&CON;FL00000W
kkW-yyyy-00-TC-CS;Plant Scada;0000;16;1681;;FL_AUT&CON;FL00000W
kkW-yyyy-00-TC-SS;SET Scada;0000;16;1681;;FL_AUT&CON;FL00000W
kkW-yyyy-00-MA;O&M Machinery;0000;16;1650;;FL_OTHER;FL00000W
kkW-yyyy-00-SM;Permanent Met Towers;0000;16;1680;;FL_METOWER;FL00000W
kkW-yyyy-00-FF;Fire Protection System;0000;16;1650;;FL_SAFSYST;FL00000W
kkW-yyyy-00-HS;Health and safety equipment;0000;16;1650;;FL_SAFSYST;FL00000W
kkW-yyyy-00-GG;Ground Network;0000;16;1650;;FL_OTHER;FL00000W
kkW-yyyy-00-PL;Power Connection Line;0000;16;1650;;FL_POWLINE;FL00000W
kkW-yyyy-00-FA;Intruder Alarm System;0000;16;1650;;FL_SECSYST;FL00000W
kkW-yyyy-0A;Common Energy Collecting & Delivery System;0000;16;1650;;;FL00000W
kkW-yyyy-xx;Bays X String n;0000;16;;;;FL00000W
kkW-yyyy-xx-IT;MV Breaker;0000;16;1650;;FL_MVSECT;FL00000W
kkW-yyyy-xx-SZ;MV Air Breaker;0000;16;1650;;FL_MVSECT;FL00000W
kkW-yyyy-xx-PR;MV Protective Relays;0000;16;1650;;FL_MVSECT;FL00000W
kkW-yyyy-xx-CB;Capacitor Battery;0000;16;1650;;FL_MVSECT;FL00000W
kkW-yyyy-xx-CL;Underground Cables and Overhead Power Lines;0000;16;1650;;FL_POWLINE;FL00000W
kkW-yyyy-xx-CE;Energy Meters;0000;16;1681;;FL_OTHER;FL00000W
kkW-yyyy-xx-T1;String Transformer ;0000;16;1650;;FL_TR_UNIT;FL00000W
kkW-yyyy-xx-GG;Grounding grid;0000;16;1650;;FL_OTHER;FL00000W
kkW-yyyy-xx-nn;Wind Turbine Generator XX;0000;16;1641;;FL_WTG;FL00000W
kkW-yyyy-xx-nn-MV;MV Section of the WTG;0000;16;1650;;FL_WTG_MV;FL00000W
kkW-yyyy-xx-nn-MV-CB;Capacitor Battery;0000;16;1650;;FL_WTG_MV;FL00000W
kkW-yyyy-xx-nn-CE;Energy Meters;0000;16;1681;;FL_AUT&CON;FL00000W
kkW-yyyy-xx-nn-TA;MV/LV Transformer of the WTG;0000;16;1640;;FL_TR_UNIT;FL00000W
kkW-yyyy-xx-nn-TA-ES;Electronic & signals;0000;16;1640;;FL_TRACOMP;FL00000W
kkW-yyyy-xx-nn-TA-MM;Mechanical Parts;0000;16;1640;;FL_TRACOMP;FL00000W
kkW-yyyy-xx-nn-TA-SP;Power Section and auxiliaries;0000;16;1640;;FL_TRACOMP;FL00000W
kkW-yyyy-xx-nn-OC;Civil Works WTG;0000;16;1610;;FL_INFRAST;FL00000W
kkW-yyyy-xx-nn-DP;Protection and Safety Devices;0000;16;1650;;FL_INFRAST;FL00000W
kkW-yyyy-xx-nn-DP-DL;Descenders, climb assist  and Life Lines;0000;16;1650;;FL_SAFSYST;FL00000W
kkW-yyyy-xx-nn-DP-FF;Fire Protection System;0000;16;1650;;FL_SAFSYST;FL00000W
kkW-yyyy-xx-nn-DP-BQ;Obstacles Aviation Lights;0000;16;1650;;FL_SAFSYST;FL00000W
kkW-yyyy-xx-nn-DP-LE;Emergency Lights;0000;16;1650;;FL_SAFSYST;FL00000W
kkW-yyyy-xx-nn-DP-AF;Intruder Alarm System;0000;16;1650;;FL_SECSYST;FL00000W
kkW-yyyy-xx-nn-DP-EM;Emergency stops;0000;16;1650;;FL_SAFSYST;FL00000W
kkW-yyyy-xx-nn-DP-ED;Enviromental detection;0000;16;1650;;FL_SAFSYST;FL00000W
kkW-yyyy-xx-nn-DP-LP;Lightning protection;0000;16;1650;;FL_SAFSYST;FL00000W
kkW-yyyy-xx-nn-TO;Tower;0000;16;1642;;FL_TOW&NAC;FL00000W
kkW-yyyy-xx-nn-TO-SP;Tower Main Structure;0000;16;1642;;FL_TOW&NAC;FL00000W
kkW-yyyy-xx-nn-TO-SC;Ladder;0000;16;1642;;FL_TOW&NAC;FL00000W
kkW-yyyy-xx-nn-TO-AS;Elevator;0000;16;1642;;FL_TOW&NAC;FL00000W
kkW-yyyy-xx-nn-NC;Nacelle;0000;16;1641;;FL_TOW&NAC;FL00000W
kkW-yyyy-xx-nn-NC-SP;Chassis;0000;16;1641;;FL_TOW&NAC;FL00000W
kkW-yyyy-xx-nn-NC-RI;Covering;0000;16;1641;;FL_TOW&NAC;FL00000W
kkW-yyyy-xx-nn-NC-MA;Hoists and Winches;0000;16;1641;;FL_TOW&NAC;FL00000W
kkW-yyyy-xx-nn-RT;Rotor;0000;16;1640;;FL_ROT&BLA;FL00000W
kkW-yyyy-xx-nn-RT-PA;Blades;0000;16;1640;;FL_ROT&BLA;FL00000W
kkW-yyyy-xx-nn-RT-MO;Hub and Nose Cone;0000;16;1640;;FL_ROT&BLA;FL00000W
kkW-yyyy-xx-nn-RT-GR;Grease system;0000;16;1640;;FL_ROT&BLA;FL00000W
kkW-yyyy-xx-nn-RT-BB;Blade bearing;0000;16;1640;;FL_ROT&BLA;FL00000W
kkW-yyyy-xx-nn-RT-HG;Hydr. Sys Actuation TIP;0000;16;1650;;FL_HYDRSYS;FL00000W
kkW-yyyy-xx-nn-RT-TI;Actuation TIP;0000;16;1640;;FL_ROT&BLA;FL00000W
kkW-yyyy-xx-nn-PS;Pitch System;0000;16;1640;;FL_PITCHSY;FL00000W
kkW-yyyy-xx-nn-PS-ES;Electrical. Pitch system;0000;16;1640;;FL_PITCHSY;FL00000W
kkW-yyyy-xx-nn-PS-PO;Position Pitch system;0000;16;1640;;FL_PITCHSY;FL00000W
kkW-yyyy-xx-nn-PS-HG;Hydr. Sys. Pitch System;0000;16;1650;;FL_HYDRSYS;FL00000W
kkW-yyyy-xx-nn-HG;Hydraulic System;0000;16;1650;;FL_HYDRSYS;FL00000W
kkW-yyyy-xx-nn-HG-ES;Electronic & Signals;0000;16;1650;;FL_CONTROL;FL00000W
kkW-yyyy-xx-nn-HG-PU;Patch cords & unions;0000;16;1650;;FL_HYDRSYS;FL00000W
kkW-yyyy-xx-nn-AL;Main Shaft;0000;16;1640;;FL_MASHAFT;FL00000W
kkW-yyyy-xx-nn-AL-MB;Main bearings;0000;16;1640;;FL_MASHAFT;FL00000W
kkW-yyyy-xx-nn-AL-GR;Grease system;0000;16;1640;;FL_MASHAFT;FL00000W
kkW-yyyy-xx-nn-ML;Gearbox;0000;16;1640;;FL_GEARBOX;FL00000W
kkW-yyyy-xx-nn-ML-RF;Gearbox Cooling System;0000;16;1640;;FL_GEARBOX;FL00000W
kkW-yyyy-xx-nn-ML-MM;Gearbox Mechanical Parts;0000;16;1640;;FL_GEARBOX;FL00000W
kkW-yyyy-xx-nn-ML-ES;Electronic & Signals;0000;16;1640;;FL_CONTROL;FL00000W
kkW-yyyy-xx-nn-GV;High Speed Shaft;0000;16;1640;;FL_COU&BRA;FL00000W
kkW-yyyy-xx-nn-FR;Brake System;0000;16;1650;;FL_COU&BRA;FL00000W
kkW-yyyy-xx-nn-FR-HG;Hydr. Sys. Mechanical Brake;0000;16;1650;;FL_HYDRSYS;FL00000W
